City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2021-05-28 19:41:13,-0.7393,-90.3518,82.36,86,75,5.01
1,Rikitea,PF,2021-05-28 19:41:13,-23.1203,-134.9692,75.51,73,21,20.51
2,Jalu,LY,2021-05-28 19:41:13,29.0331,21.5482,90.01,17,9,7.07
3,Thompson,CA,2021-05-28 19:41:13,55.7435,-97.8558,64.56,20,75,21.85
4,Inta,RU,2021-05-28 19:41:14,66.0317,60.1659,44.53,69,100,7.92
5,Areosa,PT,2021-05-28 19:41:14,41.7178,-8.8571,68.31,86,11,15.03
6,Sangar,RU,2021-05-28 19:41:14,63.9242,127.4739,52.18,60,98,1.01
7,Busayra,JO,2021-05-28 19:41:15,30.7376,35.6078,67.87,35,0,4.09
8,Chuy,UY,2021-05-28 19:41:15,-33.6971,-53.4616,61.54,76,100,5.14
9,Robertsport,LR,2021-05-28 19:41:15,6.7533,-11.3686,83.05,79,76,10.65
10,Jamestown,US,2021-05-28 19:37:10,42.097,-79.2353,51.12,94,90,7.0
11,Chokurdakh,RU,2021-05-28 19:41:16,70.6333,147.9167,46.8,57,91,11.05
12,Ulladulla,AU,2021-05-28 19:41:16,-35.35,150.4667,51.1,65,44,14.05
13,Fushun,CN,2021-05-28 19:41:17,41.8558,123.9233,47.91,93,100,4.25
14,Kalmunai,LK,2021-05-28 19:41:17,7.4167,81.8167,81.0,79,93,6.31
15,Bambous Virieux,MU,2021-05-28 19:41:17,-20.3428,57.7575,72.21,94,75,8.68
16,Smiltene,LV,2021-05-28 19:41:18,57.4244,25.9016,53.8,81,100,3.83
17,Nikolskoye,RU,2021-05-28 19:41:18,59.7035,30.7861,51.4,81,81,5.5
18,Novobirilyussy,RU,2021-05-28 19:41:18,56.9514,90.6661,36.18,70,97,6.76
19,Carnarvon,AU,2021-05-28 19:41:18,-24.8667,113.6333,69.87,100,75,0.0
20,Cabo San Lucas,MX,2021-05-28 19:41:19,22.8909,-109.9124,100.51,53,1,8.32
21,Kavieng,PG,2021-05-28 19:41:19,-2.5744,150.7967,81.7,80,100,10.33
22,Tomigusuku,JP,2021-05-28 19:41:19,26.185,127.675,77.14,88,75,1.14
23,Guozhen,CN,2021-05-28 19:41:20,34.3659,107.359,67.71,50,100,2.82
24,Mataura,NZ,2021-05-28 19:41:20,-46.1927,168.8643,49.48,99,100,2.13
25,Mecca,SA,2021-05-28 19:40:27,21.4267,39.8261,89.65,40,81,1.63
26,Bredasdorp,ZA,2021-05-28 19:41:20,-34.5322,20.0403,60.28,77,4,11.16
27,Airai,TL,2021-05-28 19:41:21,-8.9266,125.4092,58.32,95,88,3.56
28,Bako,ET,2021-05-28 19:41:21,5.7833,36.5667,62.6,84,26,4.92
29,Celestun,MX,2021-05-28 19:41:21,20.8667,-90.4,87.48,62,4,13.0
30,Maumere,ID,2021-05-28 19:41:21,-8.6199,122.2111,77.16,80,14,4.92
31,Kalety,PL,2021-05-28 19:41:22,50.5627,18.8926,53.73,87,20,5.26
32,La Ronge,CA,2021-05-28 19:41:22,55.1001,-105.2842,57.42,67,20,16.11
33,San Patricio,US,2021-05-28 19:41:23,28.017,-97.5169,90.32,58,59,15.43
34,Dunedin,NZ,2021-05-28 19:41:23,-45.8742,170.5036,47.8,83,100,5.01
35,Guerrero Negro,MX,2021-05-28 19:41:23,27.9769,-114.0611,67.6,56,34,18.9
36,Khatanga,RU,2021-05-28 19:41:23,71.9667,102.5,38.07,86,100,9.86
37,Koudougou,BF,2021-05-28 19:41:24,12.25,-2.3667,91.65,37,84,9.78
38,Albany,US,2021-05-28 19:38:44,42.6001,-73.9662,55.9,66,100,1.01
39,New Norfolk,AU,2021-05-28 19:41:24,-42.7826,147.0587,45.91,72,18,1.01
40,Vaini,TO,2021-05-28 19:41:24,-21.2,-175.2,66.36,100,75,0.0
41,Kaitangata,NZ,2021-05-28 19:41:25,-46.2817,169.8464,50.94,81,100,9.86
42,Hilo,US,2021-05-28 19:39:00,19.7297,-155.09,79.79,68,90,4.61
43,Faanui,PF,2021-05-28 19:41:25,-16.4833,-151.75,79.83,71,54,5.57
44,Codrington,AU,2021-05-28 19:41:25,-38.2667,141.9667,42.44,86,17,3.76
45,Shu,KZ,2021-05-28 19:41:26,43.5983,73.7614,62.87,82,17,8.01
46,Mapiripan,CO,2021-05-28 19:41:26,2.8892,-72.1256,84.63,68,71,5.06
47,Manokwari,ID,2021-05-28 19:41:26,-0.8667,134.0833,78.44,79,38,4.14
48,Kapaa,US,2021-05-28 19:41:27,22.0752,-159.319,80.58,74,40,1.01
49,Sinegorye,RU,2021-05-28 19:41:27,62.0788,150.477,38.35,97,100,4.81
50,Jaen,ES,2021-05-28 19:41:27,38.0,-3.5,71.92,41,57,5.01
51,Rincon,US,2021-05-28 19:38:22,32.296,-81.2354,93.65,41,40,1.99
52,Ushuaia,AR,2021-05-28 19:41:28,-54.8,-68.3,33.46,86,90,33.38
53,Sisimiut,GL,2021-05-28 19:41:28,66.9395,-53.6735,39.25,78,76,13.06
54,Dikson,RU,2021-05-28 19:41:28,73.5069,80.5464,20.89,95,100,3.31
55,Barinitas,VE,2021-05-28 19:41:29,8.7622,-70.4111,76.48,77,93,3.51
56,Karratha,AU,2021-05-28 19:41:29,-20.7377,116.8463,75.07,74,99,6.64
57,Normandin,CA,2021-05-28 19:36:34,48.8333,-72.5321,53.91,32,6,13.8
