City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Albany,US,42.6001,-73.9662,55.45,82,100,7.0,overcast clouds
79,Nyurba,RU,63.2842,118.3319,53.91,48,12,2.75,few clouds
80,Cherskiy,RU,68.75,161.3,52.29,39,13,8.21,few clouds
81,Nandyal,IN,15.4833,78.4833,95.16,38,86,4.43,overcast clouds
82,Oranjestad,AW,12.524,-70.027,79.97,84,60,22.39,broken clouds
83,Angoche,MZ,-16.2325,39.9086,74.95,76,18,7.99,few clouds
84,Winneba,GH,5.3511,-0.6231,83.25,73,99,12.84,overcast clouds
85,Provideniya,RU,64.3833,-173.3,38.21,69,94,7.61,overcast clouds
86,Bambous Virieux,MU,-20.3428,57.7575,73.22,72,1,10.45,clear sky
87,Bilibino,RU,68.0546,166.4372,47.95,57,17,2.04,few clouds
88,Ribeira Grande,PT,38.5167,-28.7,68.4,73,75,4.61,broken clouds
89,Voyvozh,RU,62.892,54.9635,45.9,54,87,5.73,overcast clouds
90,Am Timan,TD,11.0297,20.2827,105.96,13,27,7.52,scattered clouds
91,Tessalit,ML,20.1986,1.0114,109.67,5,0,14.54,clear sky
92,Burnie,AU,-41.0667,145.9167,47.91,85,100,4.32,overcast clouds
93,Nome,US,64.5011,-165.4064,46.17,63,100,3.65,overcast clouds
94,Sorland,NO,67.667,12.6934,50.07,87,100,4.68,overcast clouds
95,Cape Town,ZA,-33.9258,18.4232,58.26,92,54,1.01,light rain
96,Zlatibor,RS,43.7168,19.7,45.7,86,99,4.99,overcast clouds
97,Xicotencatl,MX,23.0167,-98.8833,87.71,58,50,8.43,scattered clouds
98,Qaanaaq,GL,77.484,-69.3632,33.22,89,100,2.35,overcast clouds
99,Aranos,NA,-24.1333,19.1167,66.92,18,8,11.27,clear sky
100,Lata,PT,40.1629,-8.3327,87.71,52,32,8.66,scattered clouds
101,Katsuura,JP,35.1333,140.3,67.19,83,53,4.54,broken clouds
102,Eureka,US,40.8021,-124.1637,62.2,76,80,1.01,broken clouds
103,Oistins,BB,13.0667,-59.5333,81.77,71,55,19.84,broken clouds
104,Saint-Augustin,CA,51.226,-58.6502,51.22,56,100,12.21,overcast clouds
105,Khatanga,RU,71.9667,102.5,34.38,99,100,7.25,moderate rain
106,Caldwell,US,43.6629,-116.6874,74.46,34,1,6.91,clear sky
107,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,88,90,5.75,light intensity drizzle
108,Klaksvik,FO,62.2266,-6.589,58.12,96,86,14.94,overcast clouds
109,Victoria,HK,22.2855,114.1577,84.38,87,100,5.99,light rain
110,Laguna,US,38.421,-121.4238,89.42,43,1,1.01,clear sky
111,Jacqueville,CI,5.2052,-4.4146,84.11,79,76,12.01,light rain
112,Mogadishu,SO,2.0371,45.3438,78.91,84,100,13.2,overcast clouds
113,Shache,CN,38.4167,77.2406,76.33,24,84,2.75,broken clouds
114,Kirakira,SB,-10.4544,161.9205,77.81,89,96,8.95,overcast clouds
115,Bakel,SN,14.905,-12.4568,106.5,17,49,7.78,scattered clouds
116,Izacic,BA,44.875,15.7819,64.54,61,56,5.79,broken clouds
117,Porto Velho,BR,-8.7619,-63.9039,86.05,62,40,2.3,scattered clouds
118,Severo-Kurilsk,RU,50.6789,156.125,36.99,98,100,27.74,light rain
119,Pedernales,DO,18.0384,-71.744,85.12,62,77,2.37,broken clouds
120,Poronaysk,RU,49.2167,143.1167,37.99,89,12,8.03,few clouds
121,Norman Wells,CA,65.282,-126.8329,50.47,77,100,2.53,overcast clouds
122,Dondo,MZ,-19.6094,34.7431,69.4,74,45,6.4,scattered clouds
123,Torbay,CA,47.6666,-52.7314,53.1,54,67,14.34,broken clouds
124,Odesskoye,RU,54.2111,72.9651,67.23,82,100,5.84,light rain
125,Trairi,BR,-3.2778,-39.2689,87.42,57,29,10.6,scattered clouds
126,Araouane,ML,18.9048,-3.5265,111.07,5,2,6.02,clear sky
127,Kavaratti,IN,10.5669,72.642,83.77,75,23,21.43,few clouds
128,Aklavik,CA,68.2191,-135.0107,33.8,86,90,12.66,overcast clouds
129,Sur,OM,22.5667,59.5289,97.41,28,88,9.8,overcast clouds
130,Avarua,CK,-21.2078,-159.775,66.25,82,70,3.44,broken clouds
131,Luderitz,NA,-26.6481,15.1594,63.91,62,0,25.1,clear sky
132,Dunedin,NZ,-45.8742,170.5036,43.81,86,100,15.01,overcast clouds
133,Santiago,CL,-33.4569,-70.6483,68.18,39,0,2.66,clear sky
134,Vostok,RU,46.4856,135.8833,43.11,93,67,3.83,broken clouds
135,Bumba,CD,2.1833,22.4667,81.59,70,82,3.02,broken clouds
136,San Cristobal,VE,7.7669,-72.225,77.18,55,93,6.53,overcast clouds
137,Komsomolskiy,UZ,40.4272,71.7189,80.02,34,3,7.25,clear sky
138,College,US,64.8569,-147.8028,56.8,64,75,4.61,broken clouds
139,Nanortalik,GL,60.1432,-45.2371,39.15,77,50,11.68,scattered clouds
140,Ulladulla,AU,-35.35,150.4667,47.08,70,28,5.39,scattered clouds
141,Almeria,ES,37.1667,-2.3333,76.3,53,100,2.8,overcast clouds
142,Saint Anthony,US,45.0205,-93.218,70.25,71,1,1.01,clear sky
143,Flinders,AU,-34.5833,150.8552,49.21,85,24,1.01,few clouds
144,Hariana,IN,31.6378,75.8408,79.97,50,99,17.11,overcast clouds
145,Capim Grosso,BR,-11.3811,-40.0128,81.84,50,79,8.57,broken clouds
146,Cukai,MY,4.25,103.4167,81.09,86,59,4.43,broken clouds
147,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,24,6.13,few clouds
148,Havoysund,NO,70.9963,24.6622,43.68,98,100,24.47,overcast clouds
149,Springfield,US,37.2153,-93.2982,67.87,68,1,7.0,clear sky
150,Sawtell,AU,-30.3833,153.1,48.22,93,18,3.44,mist
151,Leningradskiy,RU,69.3833,178.4167,28.81,94,88,11.52,overcast clouds
152,Pangody,RU,65.85,74.4859,45.5,46,19,2.1,few clouds
153,Lagoa,PT,39.05,-27.9833,61.0,78,100,20.18,overcast clouds
154,Santa Ines,BR,-3.6667,-45.38,89.01,57,17,2.39,few clouds
155,Erenhot,CN,43.6475,111.9767,49.44,46,3,4.92,clear sky
156,Launceston,AU,-41.45,147.1667,46.15,90,75,4.68,mist
157,Tautira,PF,-17.7333,-149.15,71.62,63,45,14.16,scattered clouds
158,Helena,US,46.5927,-112.0361,72.25,45,1,4.0,clear sky
159,Maceio,BR,-9.6658,-35.7353,81.84,78,75,7.2,broken clouds
160,Olavarria,AR,-36.8927,-60.3225,57.15,61,99,10.36,overcast clouds
161,Bam,IR,29.106,58.357,93.18,6,0,8.7,clear sky
162,Teya,RU,60.3778,92.6267,50.13,66,100,5.5,overcast clouds
163,Cambui,BR,-22.6122,-46.0575,71.15,75,87,4.9,overcast clouds
164,Nikolskoye,RU,59.7035,30.7861,55.78,64,100,6.15,light rain
165,Barrow,US,71.2906,-156.7887,28.42,74,90,10.36,overcast clouds
166,Itamaraca,BR,-7.7478,-34.8256,83.08,69,38,10.96,scattered clouds
167,Sihora,IN,23.4833,80.1167,93.42,27,41,6.4,scattered clouds
168,Amboasary,MG,-25.0333,46.3833,70.07,76,36,12.33,scattered clouds
169,Tiksi,RU,71.6872,128.8694,34.57,89,9,2.35,clear sky
170,Honningsvag,NO,70.9821,25.9704,42.55,87,75,23.02,light intensity drizzle
171,Tuatapere,NZ,-46.1333,167.6833,49.82,85,70,2.44,broken clouds
172,Mariental,NA,-24.6333,17.9667,66.22,16,0,11.21,clear sky
173,Namibe,AO,-15.1961,12.1522,77.29,57,1,14.99,clear sky
174,Omsukchan,RU,62.5333,155.8,33.58,80,79,7.07,broken clouds
175,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,79,96,6.44,overcast clouds
176,Thompson,CA,55.7435,-97.8558,61.52,42,97,5.28,overcast clouds
177,Raudeberg,NO,61.9875,5.1352,71.2,87,72,7.52,broken clouds
178,Sasebo,JP,33.1592,129.7228,73.0,71,100,4.85,overcast clouds
179,Ledyard,US,41.4398,-72.0142,56.23,86,90,3.0,overcast clouds
180,Baraki Barak,AF,33.9675,68.9486,74.91,17,10,8.81,clear sky
181,Ola,RU,59.5833,151.2833,36.16,99,100,1.43,light rain
182,Opuwo,NA,-18.0607,13.84,76.77,16,72,7.99,broken clouds
183,Bathsheba,BB,13.2167,-59.5167,88.41,51,40,19.62,scattered clouds
184,Kununurra,AU,-15.7667,128.7333,64.38,77,42,0.0,scattered clouds
185,Grand Gaube,MU,-20.0064,57.6608,73.38,77,0,4.0,clear sky
186,Martapura,ID,-3.4167,114.85,78.89,94,77,2.37,broken clouds
187,Mackay,AU,-21.15,149.2,59.68,78,100,10.42,overcast clouds
